44672,CALLE PEDRO DOBLADO CLAVERIE,800.0,374186.585106,3147918.20881,,Papel_Carton
45644,CALLE CARDENAL CISNEROS,800.0,374604.194295,3148155.22598,,Papel_Carton
45644,CALLE CARDENAL CISNEROS,120.0,374609.443639,3148153.91364,,Papel_Carton
10563,AVDA JOSE MARTI,120.0,378281.158925,3151159.65157,,Papel_Carton
57877,CALLE DECANO CONSULAR JESUS RAMOS GONZALEZ,800.0,372801.617068,3144611.09392,,Papel_Carton
57877,CALLE DECANO CONSULAR JESUS RAMOS GONZALEZ,120.0,372806.016453,3144611.77075,,Papel_Carton
50421,AVDA DE TINCER,800.0,372280.705565,3147132.3865,,Papel_Carton
50421,AVDA DE TINCER,120.0,372283.41288,3147127.98711,,Papel_Carton
50587,CALLE MARIA DE LA PAZ,800.0,372410.31765,3146458.29159,,Papel_Carton
50974,CALLE GANSO,800.0,370542.707293,3146604.55486,,Papel_Carton
51923,CALLE CONVENTO,800.0,369255.23295,3146731.37904,,Papel_Carton
10114,CALLE LA ROSA,120.0,377693.830836,3150110.44962,,Papel_Carton
82217,CALLE ANTONIO MACHADO,800.0,375900.960055,3148878.06739,,Papel_Carton
42561,CALLE NUÑEZ DE LA PEÑA,800.0,375396.890864,3148387.43104,,Papel_Carton
42561,CALLE NUÑEZ DE LA PEÑA,120.0,375393.341103,3148387.43104,,Papel_Carton
10799,PASEO LAS RETAMAS,800.0,373927.543285,3147920.59591,,Papel_Carton
10799,PASEO LAS RETAMAS,120.0,373925.996554,3147917.76703,,Papel_Carton
57711,PSAJE LOS BANQUITOS,800.0,386959.017781,3155942.94908,,Papel_Carton
41051,CALLE REVERENDO ONESIMO BETANCORT,800.0,378862.689375,3151887.13871,,Papel_Carton
41051,CALLE REVERENDO ONESIMO BETANCORT,120.0,378860.430436,3151889.18251,,Papel_Carton
40933,CTRA TAHODIO,800.0,377857.451709,3151762.78166,,Papel_Carton
40933,CTRA TAHODIO,120.0,377855.730613,3151765.90114,,Papel_Carton
59072,CALLE AGANA,800.0,372079.111325,3144985.74825,,Papel_Carton
10101,CALLE CUPRESO,800.0,372304.016542,3144754.65946,,Papel_Carton
10107,CALLE EL REMANSO,3000.0,374430.310794,3147394.27291,,Papel_Carton
45613,CALLE ARAUCANO,3000.0,374381.327997,3148049.88601,,Papel_Carton
30366,CALLE SANTIAGO CUADRADO,3000.0,376425.173199,3149896.42227,,Papel_Carton
30366,CALLE SANTIAGO CUADRADO,3000.0,376409.939989,3149771.22,,Papel_Carton
20205,CALLE PANAMA,3000.0,375976.140612,3148250.14595,,Papel_Carton
20205,CALLE PANAMA,3000.0,376016.426727,3148289.79696,,Papel_Carton
20171,CALLE FERNANDO AROZENA QUINTERO,3000.0,375819.250285,3148274.61571,,Papel_Carton
42835,CALLE ANTONIO LECUONA HARDISSON,3000.0,375238.614395,3147608.63668,,Papel_Carton
42955,CALLE JUAN DE AVILA,3000.0,375260.181223,3147780.2796,,Papel_Carton
42932,CALLE JOSE MALDONADO DUGOUR,3000.0,375096.777001,3147727.07,,Papel_Carton
43057,CALLE FERNANDO BEAUTELL,3000.0,374966.39,3147570.49784,,Papel_Carton
42576,CALLE POETA GUTIERREZ ALBELO,3000.0,375560.443669,3148239.48344,,Papel_Carton
45377,CALLE CARACAS,3000.0,375759.958705,3148464.87344,,Papel_Carton
42367,CALLE IZQUIERDO AZCARATE,3000.0,375506.335427,3148710.12571,,Papel_Carton
45772,CALLE LOS SAUCES,3000.0,375272.95,3148745.94,,Papel_Carton
42793,CALLE GANDHI,3000.0,375074.109766,3148150.24527,,Papel_Carton
44103,CALLE DULCE MARIA LOINAZ,3000.0,375222.335327,3148390.01556,,Papel_Carton
45675,CALLE CHIGUERGUE,3000.0,374592.534118,3148661.46558,,Papel_Carton
45675,CALLE CHIGUERGUE,3000.0,374547.302824,3148684.32993,,Papel_Carton
10497,CALLE PINTOR JOSE AGUIAR,3000.0,377379.143562,3150458.24795,,Papel_Carton
82507,CALLE RAMON BAUDET GRANDY,3000.0,377006.602701,3150596.63491,,Papel_Carton
82515,CALLE RUBEN MARICHAL LOPEZ,3000.0,376983.659296,3150661.03896,,Papel_Carton
82515,CALLE RUBEN MARICHAL LOPEZ,3000.0,376918.983933,3151275.06272,,Papel_Carton
82515,CALLE RUBEN MARICHAL LOPEZ,3000.0,376835.008336,3151225.77753,,Papel_Carton
82515,CALLE RUBEN MARICHAL LOPEZ,3000.0,376802.976262,3151340.80272,,Papel_Carton
40821,CTRA LOS CAMPITOS,3000.0,376368.541361,3151699.42471,,Papel_Carton
30641,CALLE DOCTOR GONZALEZ COVIELLA,3000.0,377075.94447,3150535.15158,,Papel_Carton
30092,AVDA VEINTICINCO DE JULIO,3000.0,377106.14286,3150390.89957,,Papel_Carton
11141,CALLE ROBAYNA,3000.0,377178.514422,3149684.72051,,Papel_Carton
43982,CALLE ESTANISLAO BROTONS POVEDA,3000.0,374506.871315,3148605.14921,,Papel_Carton
44567,CALLE AMERICO LOPEZ MENDEZ,3000.0,374552.641401,3148545.26917,,Papel_Carton
82047,CALLE IGUESTE,3000.0,374309.805818,3148580.48099,,Papel_Carton
43966,CALLE DOMINGO SALAZAR COLOGAN,3000.0,374359.61562,3148670.25283,,Papel_Carton
43966,CALLE DOMINGO SALAZAR COLOGAN,3000.0,374362.586553,3148713.1102,,Papel_Carton
43854,CALLE ELIAS BACALLADO,3000.0,374278.011843,3148778.94447,,Papel_Carton
31691,CALLE JOSE GUEZALA BIGNORY,3000.0,374373.942799,3148843.84443,,Papel_Carton
43386,CALLE SARGENTO PROVISIONAL,3000.0,373825.133438,3147887.99158,,Papel_Carton
43765,CALLE HERMANO PEDRO,3000.0,374030.51,3147841.05,,Papel_Carton
45884,CALLE OLIVINA,3000.0,373853.998184,3148108.05084,,Papel_Carton
43467,CALLE SANTA MARGARITA,3000.0,373696.656316,3148253.96026,,Papel_Carton
83124,CALLE DOCTOR CORVINIANO RODRIGUEZ LOPEZ,3000.0,373908.075003,3148203.20895,,Papel_Carton
43904,CALLE HERNAN CORTES,3000.0,374261.328691,3148098.8663,,Papel_Carton
44664,CALLE PEDRO DE VALDIVIA,3000.0,374326.831854,3148021.30866,,Papel_Carton
47121,CALLE CHAFIRA,3000.0,373689.068683,3147293.53352,,Papel_Carton
44513,CALLE HERMANOS PINZON,3000.0,374432.035647,3147979.33435,,Papel_Carton
44505,CALLE ELISEO LOPEZ,3000.0,374413.877352,3148180.67312,,Papel_Carton
10625,CALLE LA ESTRELLA,3000.0,373924.884779,3147552.40598,,Papel_Carton
43227,AVDA PRINCIPES DE ESPAÑA,3000.0,374304.132001,3148353.30636,,Papel_Carton
45586,CALLE TAJARASTE,3000.0,374192.601803,3148677.24303,,Papel_Carton
54167,CALLE SIMBAD,3000.0,374216.305527,3148472.90158,,Papel_Carton
56487,CALLE DACIL VILAR BORGES,3000.0,374222.962632,3148400.5,,Papel_Carton
56487,CALLE DACIL VILAR BORGES,3000.0,374205.385843,3148322.68035,,Papel_Carton
56487,CALLE DACIL VILAR BORGES,3000.0,374170.423322,3148244.71615,,Papel_Carton
43684,CALLE GARA Y JONAY,3000.0,374506.157001,3147735.30135,,Papel_Carton
43185,CALLE TAJINASTE (B. LAS CABRITAS),3000.0,374307.362941,3147585.15882,,Papel_Carton
45725,CALLE AÑAVINGO,3000.0,374718.726928,3148388.6924,,Papel_Carton
31346,CALLE CAMINO DEL HIERRO,3000.0,374744.554802,3148598.77351,,Papel_Carton
44215,CALLE PEDRO JOSE DE MENDIZABAL,3000.0,374824.49946,3148536.47405,,Papel_Carton
44215,CALLE PEDRO JOSE DE MENDIZABAL,3000.0,374973.19,3148642.81,,Papel_Carton
31532,CALLE ANSELMO,3000.0,374294.648647,3149089.51571,,Papel_Carton
31621,CALLE BERNA,3000.0,374151.388588,3149106.843,,Papel_Carton
31756,CALLE RUTH,3000.0,374185.257118,3149003.23576,,Papel_Carton
31795,CALLE SOR MARIA DE JESUS,3000.0,374414.05147,3149389.21271,,Papel_Carton
45033,CALLE ELIAS SERRA RAFOLS,3000.0,374541.52618,3149110.35611,,Papel_Carton
31884,CALLE ANTONIO VIVANCO SANTILLAN,3000.0,374662.84,3149352.25,,Papel_Carton
83082,CTRA SANTA CRUZ LAGUNA,3000.0,374729.62363,3149226.87938,,Papel_Carton
31393,CALLE HERRAIZ MALO,3000.0,374940.16236,3149273.46842,,Papel_Carton
44865,CALLE CLAUDIO F SARMIENTO,3000.0,374997.169945,3149282.84997,,Papel_Carton
44915,CALLE POETISA VITORINA BRIDOUX,3000.0,374698.515764,3148803.89424,,Papel_Carton
32825,CALLE JOSE LIBRERO,3000.0,374859.898471,3149639.17619,,Papel_Carton
20693,CALLE LOS MOLINOS,3000.0,377150.405647,3149166.4368,,Papel_Carton
10307,CALLE SAN FERNANDO,3000.0,377573.343557,3150445.94045,,Papel_Carton
20484,CALLE EDUARDO ZAMACOIS,3000.0,376633.074892,3148979.40239,,Papel_Carton
20766,CALLE LEONCIO RODRIGUEZ,3000.0,377496.492239,3148972.8319,,Papel_Carton
10705,PLAZA PRIMERO DE MAYO,3000.0,377334.934123,3149133.15359,,Papel_Carton
57564,CALLE PROLONGACION RAMON Y CAJAL,3000.0,377161.317631,3149441.81856,,Papel_Carton
10822,CALLE MIRAFLORES,3000.0,377175.571338,3149482.79531,,Papel_Carton
10822,CALLE MIRAFLORES,3000.0,377491.742147,3149393.13046,,Papel_Carton
10064,CALLE SAN FRANCISCO,3000.0,377717.353416,3149640.62263,,Papel_Carton
20596,AVDA BUENOS AIRES,3000.0,377105.67949,3148884.19127,,Papel_Carton
21127,CALLE QUEVEDO,3000.0,376940.282524,3148990.14229,,Papel_Carton
20693,CALLE LOS MOLINOS,3000.0,377115.527176,3148969.91061,,Papel_Carton
20712,AVDA SAN SEBASTIAN,3000.0,377345.504556,3149205.3796,,Papel_Carton
10257,CALLE DOCTOR JOSE NAVEIRAS,3000.0,377361.251628,3150150.6569,,Papel_Carton
11133,CALLE EL PILAR,3000.0,377497.510441,3149763.29509,,Papel_Carton
11357,CALLE VILLALBA HERVAS,3000.0,377585.654257,3149680.28142,,Papel_Carton
11311,CALLE EMILIO CALZADILLA,3000.0,377697.737456,3149791.14666,,Papel_Carton
11052,PLAZA WEYLER,3000.0,377063.313161,3149697.69916,,Papel_Carton
10787,CALLE IMELDO SERIS,3000.0,377153.348887,3149610.99256,,Papel_Carton
21143,CALLE PADRE ANCHIETA,3000.0,377097.704014,3149262.02027,,Papel_Carton
21143,CALLE PADRE ANCHIETA,3000.0,377245.915385,3149212.67464,,Papel_Carton
20871,CALLE JUAN ALVAREZ GARCIA,3000.0,377422.436642,3149033.26441,,Papel_Carton
21135,CALLE AGUERE,3000.0,377217.36399,3149349.7405,,Papel_Carton
30575,CALLE ENRIQUE WOLFSON,3000.0,376928.952239,3150241.74011,,Papel_Carton
44803,CALLE DOCTOR PEREZ CAMACHO,3000.0,376497.206779,3150301.7838,,Papel_Carton
44792,CALLE HENRY DUNANT,3000.0,376382.289704,3150236.27349,,Papel_Carton
30401,GTA ESTADO DE VIRGINIA,3000.0,376451.103487,3149972.18868,,Papel_Carton
20712,AVDA SAN SEBASTIAN,3000.0,376863.861754,3149183.05064,,Papel_Carton
30575,CALLE ENRIQUE WOLFSON,3000.0,376828.213284,3150156.09597,,Papel_Carton
21472,CALLE TAJINASTE (BARRIO NUEVO),3000.0,375765.632211,3150144.82425,,Papel_Carton
40821,CTRA LOS CAMPITOS,3000.0,375941.529852,3150366.70574,,Papel_Carton
30896,CALLE FEBLES CAMPOS,3000.0,375995.344697,3149910.85034,,Papel_Carton
30834,CALLE DEL OLVIDO,3000.0,376132.752874,3149845.67631,,Papel_Carton
30486,CALLE DOCTOR ALFONSO SORIANO FRADE,3000.0,376734.466678,3150008.92914,,Papel_Carton
43065,CTRA DE HOYA FRIA,3000.0,374860.679811,3147346.29528,,Papel_Carton
56472,CALLE SUBIDA AL MAYORAZGO,3000.0,374031.920126,3147064.9744,,Papel_Carton
57324,CALLE PINTOR MARTIN GONZALEZ,3000.0,376148.693474,3149005.83686,,Papel_Carton
30455,CALLE COMANDANTE SANCHEZ PINTO,3000.0,376530.036086,3149949.67668,,Papel_Carton
30455,CALLE COMANDANTE SANCHEZ PINTO,3000.0,376598.092895,3149907.74914,,Papel_Carton
31064,CALLE COMODORO ROLIN,3000.0,376007.026413,3149310.50493,,Papel_Carton
30304,AVDA ISLAS CANARIAS,3000.0,375972.940209,3149471.4677,,Papel_Carton
31056,CALLE BLAS CABRERA,3000.0,375852.939734,3149313.76349,,Papel_Carton
54747,PASEO DE LAS ESCUELAS PIAS,3000.0,376718.58804,3150223.24,,Papel_Carton
30416,CALLE DEL PERDON,3000.0,376277.746155,3150053.54184,,Papel_Carton
30751,CALLE POETA HERNANDEZ AMADOR,3000.0,376193.316771,3150038.17847,,Papel_Carton
30745,CALLE CAMPOAMOR,3000.0,376093.218364,3150248.24047,,Papel_Carton
30745,CALLE CAMPOAMOR,3000.0,376096.891652,3150284.98552,,Papel_Carton
30745,CALLE CAMPOAMOR,3000.0,375996.502043,3150281.22381,,Papel_Carton
30753,"CALLE JUAN PEREZ DELGADO ""NIJOTA""",3000.0,375992.799276,3150191.43263,,Papel_Carton
30753,"CALLE JUAN PEREZ DELGADO ""NIJOTA""",3000.0,375961.980016,3150110.37355,,Papel_Carton
30293,CALLE FERNANDO PRIMO DE RIVERA,3000.0,376168.824211,3149914.96013,,Papel_Carton
30865,CALLE POETA VIANA,3000.0,376089.102763,3149972.59566,,Papel_Carton
30792,CALLE POETA TOMAS MORALES,3000.0,376055.698141,3150051.83916,,Papel_Carton
30751,CALLE POETA HERNANDEZ AMADOR,3000.0,376227.847808,3150087.26744,,Papel_Carton
32597,CALLE EL GRECO,3000.0,376189.593724,3149353.27476,,Papel_Carton
21665,CALLE PRINCESA GUAYARMINA,3000.0,375667.559154,3149908.36374,,Papel_Carton
30351,CALLE SALAMANCA,3000.0,376292.130979,3149657.86427,,Papel_Carton
22034,CALLE LA OROTAVA,3000.0,375159.192212,3150068.29718,,Papel_Carton
21545,CALLE BENAHOARE,3000.0,375583.145497,3149943.72195,,Papel_Carton
21827,CALLE MENCEY BENCOMO,3000.0,375529.82,3150198.18,,Papel_Carton
22726,CALLE JOSE FONSPERTIUS,3000.0,375415.648151,3150405.75121,,Papel_Carton
22185,CALLE VIA CORNISA,3000.0,375167.251529,3150319.43993,,Papel_Carton
22556,CALLE GUIMAR,3000.0,375066.660917,3150322.47656,,Papel_Carton
22556,CALLE GUIMAR,3000.0,375037.465647,3150395.85282,,Papel_Carton
22517,CALLE TACORONTE,3000.0,374977.341117,3150201.6244,,Papel_Carton
22185,CALLE VIA CORNISA,3000.0,374981.326198,3150115.95875,,Papel_Carton
22316,CALLE ARONA,3000.0,374812.417229,3150132.68334,,Papel_Carton
22204,CALLE GRANADILLA,3000.0,374820.908884,3149936.96676,,Papel_Carton
30366,CALLE SANTIAGO CUADRADO,3000.0,376384.550636,3149666.23098,,Papel_Carton
30993,AVDA DE BELGICA,3200.0,376039.766163,3149373.82714,,Papel_Carton
30993,AVDA DE BELGICA,3200.0,375943.164208,3149394.83782,,Papel_Carton
10035,CALLE LAURA GROTE DE LA PUERTA,3000.0,374273.1,3146943.37,,Papel_Carton
21707,AVDA DE VENEZUELA,3000.0,375624.93,3149549.59,,Papel_Carton
22123,CALLE LOS REALEJOS,3000.0,375123.583201,3150174.71534,,Papel_Carton
21707,AVDA DE VENEZUELA,3000.0,375645.144745,3149456.29223,,Papel_Carton
21707,AVDA DE VENEZUELA,3200.0,375676.368904,3149416.09755,,Papel_Carton
51401,CALLE LAS CAÑADAS,3000.0,374710.656639,3149636.36813,,Papel_Carton
32091,CALLE EMILIO SERRA RUS,3000.0,374793.959612,3149604.61068,,Papel_Carton
32021,CALLE ARICO,3000.0,374705.685503,3149535.12713,,Papel_Carton
30304,AVDA ISLAS CANARIAS,3000.0,375598.133635,3149363.90719,,Papel_Carton
44486,CALLE BELISARIO GUIMERA Y DEL CASTILLO VALERO,3000.0,375673.942113,3149239.1792,,Papel_Carton
44447,CALLE RODRIGO DE TRIANA,3000.0,374642.346747,3147909.72877,,Papel_Carton
51447,CALLE CRUZ DE LA GALLEGA,3000.0,371024.62,3145013.4,,Papel_Carton
57274,CTRA GENERAL DEL SUR,3000.0,370906.551708,3144899.62989,,Papel_Carton
52733,CTRA DEL TABLERO,3000.0,369963.392188,3144384.56802,,Papel_Carton
52717,CALLE PETUNIA,3000.0,369935.251322,3144189.51389,,Papel_Carton
52795,CALLE ZARZAMORA,3000.0,369300.151933,3144737.6364,,Papel_Carton
52435,CALLE CASTAÑO,3000.0,369524.245799,3144574.71457,,Papel_Carton
50541,CALLE EL DRAGUILLO,3000.0,372444.336201,3146102.04351,,Papel_Carton
50684,CALLE RAMOS,3000.0,372277.658708,3146325.83167,,Papel_Carton
50622,CALLE LOS PEREGRINOS,3000.0,372010.071238,3146177.29198,,Papel_Carton
50316,CALLE PRUDENCIO TADEO,3000.0,372543.305439,3146715.43816,,Papel_Carton
10476,CALLE EL CANARIO,3000.0,372355.018418,3147048.36042,,Papel_Carton
50421,AVDA DE TINCER,3000.0,372458.691685,3146997.12421,,Papel_Carton
10042,CALLE EL BUHO,3000.0,371910.154538,3146295.14237,,Papel_Carton
51374,CALLE BARRANCO GRANDE,3000.0,371815.850141,3146192.18813,,Papel_Carton
51374,CALLE BARRANCO GRANDE,3000.0,371633.542627,3146469.08438,,Papel_Carton
50703,CALLE SAUCE,3000.0,372109.52,3146890.38,,Papel_Carton
10024,CALLE EL ACEBO,3000.0,371833.743977,3146553.77964,,Papel_Carton
10477,CALLE EL PAPITO,3000.0,370989.311527,3146728.39076,,Papel_Carton
50711,CTRA DEL SOBRADILLO,3000.0,370667.98,3146713.8,,Papel_Carton
50823,CALLE BELLOTERO,3000.0,370506.204277,3146736.66048,,Papel_Carton
50974,CALLE GANSO,3000.0,370568.501961,3146596.39119,,Papel_Carton
51602,CALLE REINETA,3000.0,371385.128915,3146552.92,,Papel_Carton
52385,CALLE BIGUIPALA,3000.0,370964.29281,3145478.50817,,Papel_Carton
52385,CALLE BIGUIPALA,3000.0,370817.98,3145370.01,,Papel_Carton
52636,CALLE MANDRAGORA,3000.0,370912.349751,3145538.9195,,Papel_Carton
52307,CALLE ALTAMIRA,3000.0,370640.38,3145539.53,,Papel_Carton
01101,CALLE URBANIZACION ALDEAS INFANTILES,3000.0,368639.501009,3145396.19341,,Papel_Carton
52427,CALLE CAPUCHINA,3000.0,369109.595853,3145028.01317,,Papel_Carton
52795,CALLE ZARZAMORA,3000.0,369351.84322,3145061.84707,,Papel_Carton
10289,CALLE NISAMAR,3000.0,373103.511057,3144984.76173,,Papel_Carton
10289,CALLE NISAMAR,3000.0,373140.469175,3144965.93019,,Papel_Carton
10558,CALLE JUSTO NICOMEDES GONZALEZ DIAZ,3000.0,370725.874147,3144740.97121,,Papel_Carton
52242,CALLE RODODENDRO,3000.0,370623.211947,3144673.09073,,Papel_Carton
52242,CALLE RODODENDRO,3000.0,370679.459453,3144621.92881,,Papel_Carton
51014,CALLE HALCON,3000.0,371405.784966,3146866.3857,,Papel_Carton
50711,CTRA DEL SOBRADILLO,3000.0,370465.07063,3146637.05528,,Papel_Carton
50711,CTRA DEL SOBRADILLO,3000.0,370137.678747,3146569.96059,,Papel_Carton
50711,CTRA DEL SOBRADILLO,3000.0,369971.66,3146747.35,,Papel_Carton
52095,CALLE SAN FRANCISCO DE PAULA (LLANO DEL MORO),3000.0,369420.428178,3147085.42977,,Papel_Carton
52137,"CALLE LA ZAPATERA, (LLANO DEL MORO)",3000.0,369806.738546,3147705.03901,,Papel_Carton
52137,"CALLE LA ZAPATERA, (LLANO DEL MORO)",3000.0,369961.19756,3147613.10268,,Papel_Carton
10495,CALLE 122,3000.0,369889.152499,3147473.47321,,Papel_Carton
50711,CTRA DEL SOBRADILLO,3000.0,369376.443969,3146924.93092,,Papel_Carton
52547,CALLE GIRASOL,3000.0,370974.136385,3145321.43723,,Papel_Carton
51455,CALLE LOS DESAMPARADOS,3000.0,371110.753446,3145639.38175,,Papel_Carton
51617,CALLE ROSADO,3000.0,371494.96711,3146126.5677,,Papel_Carton
57274,CTRA GENERAL DEL SUR,3000.0,371614.43,3145941.4,,Papel_Carton
51834,CALLE RUISEÑOR,3000.0,371828.271808,3146069.74,,Papel_Carton
10109,CALLE ROBERTO SANCHEZ SUAREZ,3000.0,372709.621799,3146999.52341,,Papel_Carton
57862,CALLE SAN BORONDON,3000.0,372750.44,3147137.55,,Papel_Carton
50115,CALLE LOS ESTUDIANTES,3000.0,372270.758745,3147222.72335,,Papel_Carton
50533,CALLE DOCTOR JOSE SAEZ Y SAENZ DIEZ,3000.0,372254.599448,3146508.90685,,Papel_Carton
10042,CALLE EL BUHO,3000.0,371961.989996,3146212.4872,,Papel_Carton
57274,CTRA GENERAL DEL SUR,3000.0,370674.619751,3144557.34463,,Papel_Carton
52315,CALLE AMAPOLA,3000.0,370475.972017,3144359.8523,,Papel_Carton
52772,CALLE TULIPAN,3000.0,370597.630974,3144440.78391,,Papel_Carton
52226,CALLE PARTE CAMINOS,3000.0,370768.47,3144740.14,,Papel_Carton
52211,CALLE ORQUIDEA,3000.0,370736.320721,3145051.52121,,Papel_Carton
59176,CALLE CIGARRILLOS,3000.0,371135.726684,3145202.76775,,Papel_Carton
52211,CALLE ORQUIDEA,3000.0,370802.268546,3145001.77804,,Papel_Carton
52184,CALLE EL HUMILLADERO,3000.0,370277.094031,3145097.07982,,Papel_Carton
52717,CALLE PETUNIA,3000.0,369787.94512,3144297.18439,,Papel_Carton
10847,CALLE EL GARABATO,3000.0,370575.779541,3147196.6231,,Papel_Carton
56402,CALLE CHINAMADA,3000.0,372053.323846,3145120.61146,,Papel_Carton
10570,AVDA PRINCIPAL AÑAZA,3200.0,372391.310013,3144943.63939,,Papel_Carton
10540,CALLE LOS CALADOS,3200.0,372534.169481,3145035.7285,,Papel_Carton
10178,RBLA BENTACAYSE,3200.0,372651.803382,3144905.05872,,Papel_Carton
10570,AVDA PRINCIPAL AÑAZA,3200.0,372827.29,3145201.24361,,Papel_Carton
10570,AVDA PRINCIPAL AÑAZA,3200.0,372403.378276,3144729.64996,,Papel_Carton
10570,AVDA PRINCIPAL AÑAZA,3200.0,372455.614055,3144560.57329,,Papel_Carton
57877,CALLE DECANO CONSULAR JESUS RAMOS GONZALEZ,3200.0,372648.558143,3144592.45688,,Papel_Carton
10559,RBLA AÑAZA,3200.0,372828.055539,3145091.67319,,Papel_Carton
10570,AVDA PRINCIPAL AÑAZA,3200.0,372603.23,3145235.82,,Papel_Carton
20774,CALLE LUIS BRAILLE,3200.0,372916.413379,3144751.78227,,Papel_Carton
10570,AVDA PRINCIPAL AÑAZA,3200.0,373043.300396,3144986.5752,,Papel_Carton
10660,CALLE GABINO JIMENEZ,3200.0,372167.402571,3144239.65215,,Papel_Carton
10541,CALLE CATAIXA,3200.0,372035.119831,3144210.04181,,Papel_Carton
10747,CALLE IBAUTE,3200.0,371731.84,3144036.1,,Papel_Carton
10499,CALLE MAYANTIGO,3200.0,372378.057985,3144053.75252,,Papel_Carton
54612,CALLE COLUMBRETE,3200.0,372120.41117,3144999.76533,,Papel_Carton
10744,CALLE TAMARAN,3200.0,372165.516671,3145118.00334,,Papel_Carton
56007,CALLE GUAYRE,3200.0,372208.641577,3145215.43874,,Papel_Carton
58207,CALLE TANO,3200.0,371943.98,3145193.5,,Papel_Carton
56804,CALLE ATAMAN,3200.0,371909.892991,3145175.95251,,Papel_Carton
56804,CALLE ATAMAN,3200.0,371890.622991,3145347.944,,Papel_Carton
58401,CALLE CHACERQUEN,3200.0,372018.15,3145348.47,,Papel_Carton
10301,CALLE PUNTA DE ANAGA,3200.0,371950.111799,3145554.77016,,Papel_Carton
10301,CALLE PUNTA DE ANAGA,3200.0,371916.72344,3145512.22016,,Papel_Carton
10301,CALLE PUNTA DE ANAGA,3200.0,371832.743449,3145394.26126,,Papel_Carton
10312,CALLE PUNTA DE RASCA,3200.0,371738.163121,3145524.8428,,Papel_Carton
10316,CALLE PUNTA DEL DRAGO,3200.0,371923.596636,3145736.3128,,Papel_Carton
10301,CALLE PUNTA DE ANAGA,3200.0,371605.43,3145091.3,,Papel_Carton
57274,CTRA GENERAL DEL SUR,3200.0,372109.67199,3146337.50502,,Papel_Carton
50711,CTRA DEL SOBRADILLO,3200.0,371798.017169,3146436.19448,,Papel_Carton
50653,CALLE PETREL,3200.0,371750.619609,3146555.37605,,Papel_Carton
50711,CTRA DEL SOBRADILLO,3200.0,371668.297108,3146582.32175,,Papel_Carton
10244,AVDA LOS MAJUELOS,3200.0,371799.648664,3147261.44493,,Papel_Carton
10325,CALLE LA BREGA,3200.0,371690.46,3147236.69,,Papel_Carton
10585,CALLE VOLCAN DE LAS ARENAS,3200.0,371592.642011,3147166.5121,,Papel_Carton
50951,CALLE FAISAN,3200.0,371322.762509,3147034.52899,,Papel_Carton
59474,CTRA GENERAL DE GENETO,3200.0,371072.676164,3146999.84557,,Papel_Carton
51196,CALLE ROBIN,3200.0,371151.064134,3146812.59147,,Papel_Carton
10244,AVDA LOS MAJUELOS,3200.0,371227.841482,3146743.92421,,Papel_Carton
10244,AVDA LOS MAJUELOS,3200.0,371306.02749,3146827.45956,,Papel_Carton
40781,CALLE LA ASOMADITA,3200.0,370898.959023,3146976.63198,,Papel_Carton
10276,CALLE LOMO SAN PEDRO,3200.0,370860.704005,3146272.15706,,Papel_Carton
